(1,1)
(1,2)
(1,3)
(2,3)
(3,3)
(3,2)
(3,1)
(4,1)
(5,1)
(5,2)
(5,3)
(5,4)
(5,5)
(6,5)
(7,5)
(7,6)
(7,7)
(7,8)
(8,8)
(9,8)
(9,7)
(9,6)
(9,5)
(9,4)
(9,3)
(8,3)
(7,3)
(7,2)
(7,1)
(8,1)
(9,1)
(10,1)
(11,1)
(11,2)
(11,3)
(11,4)
(11,5)
(11,6)
(11,7)
(11,8)
(12,8)
(13,8)
(14,8)
(15,8)
(16,8)
(17,8)
(17,9)
(17,10)
(16,10)
(15,10)
(14,10)
(13,10)
(12,10)
(11,10)
(11,11)
(11,12)
(11,13)
(11,14)
(12,14)
(13,14)
(13,13)
(13,12)
(14,12)
(15,12)
(15,13)
(15,14)
(15,15)
(15,16)
(15,17)
(15,18)
(16,18)
(17,18)
(18,18)
